"dataset","model","sampling","balanced_acc","balanced_acc_sd","roc","roc_sd","sens_cv","spec_cv","ppv_cv","npv_cv","optimal_threshold","sens_at_optimal","spec_at_optimal","brier_score","alpha","lambda","n.trees","interaction.depth","shrinkage","n.minobsinnode","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","sigma","C","mtry"
"data_30","rf","rose",0.906223413088744,0.0333389266754173,0.965615359250648,0.0257065599001347,0.944047619047619,0.86839920712987,0.201345196073439,0.997876043521425,0.835,0.920882584712372,0.904109589041096,0.109640020109689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"data_33","glmnet","none",0.834748043052838,0.0662150517892789,0.976100782778865,0.0258907392123053,0.682738095238095,0.98675799086758,0.751117123617123,0.984336999633593,0.027534845865169,0.922374429223744,0.945205479452055,0.0218964823147451,1,0.000183298071083244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","glmnet","up",0.934801043705153,0.0271776494771957,0.974062296151337,0.0145377524589146,0.971428571428571,0.898173515981735,0.334458936263196,0.998519637512352,0.506655329140485,0.900228310502283,0.972602739726027,0.0771406435575825,0,0.483293023857175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","glmnet","down",0.928184116112198,0.0413243851466845,0.973422211350293,0.0163302846576081,0.957738095238095,0.898630136986301,0.329522026694201,0.99776364759874,0.536935515037842,0.910958904109589,0.949771689497717,0.0730677113967838,0.25,0.0784759970351461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","glmnet","smote",0.936170906718852,0.0275186178489995,0.974119373776908,0.0145813550812733,0.971428571428571,0.900913242009132,0.339739215997572,0.998519637512352,0.509982639947807,0.903424657534247,0.972602739726027,0.0738201712196774,0,0.483293023857175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","glmnet","rose",0.932261089367254,0.0294988312058411,0.973214285714286,0.0152993585546727,0.967261904761905,0.897260273972603,0.331910988767409,0.998259820148194,0.495385698942325,0.899543378995434,0.968036529680365,0.701157175060409,0,0.263665089873036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","gbm","none",0.790565883887802,0.0739599535386146,0.974388454011742,0.0152940168728803,0.596428571428571,0.984703196347032,0.687251082251082,0.980054819977401,0.00043749041618287,0.881963470319635,0.972602739726027,0.0263588584045018,NA,NA,300,7,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","gbm","up",0.898976679712981,0.0620690660775557,0.967928489889106,0.0293086738170548,0.85297619047619,0.944977168949772,0.451214104952495,0.992383324549901,0.126679767997932,0.880365296803653,0.972602739726027,0.0420089287429608,NA,NA,100,3,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","gbm","down",0.919993476842792,0.0377071708774523,0.967486138290933,0.0179046595717708,0.945238095238095,0.894748858447489,0.324769370040916,0.996962726064518,0.445032460673721,0.886529680365297,0.958904109589041,0.0782048097526613,NA,NA,100,7,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","gbm","smote",0.890215264187867,0.0681087834889524,0.969108773646445,0.02056941550363,0.84047619047619,0.939954337899543,0.423823133637375,0.991642574834517,0.124743576040363,0.872831050228311,0.963470319634703,0.0451843662996648,NA,NA,100,3,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","gbm","rose",0.522260273972603,0.0552996175624337,0.947896281800391,0.034457361897499,1,0.0445205479452055,0.0509376787617663,1,0.990093478249476,0.86986301369863,0.917808219178082,0.730205011487395,NA,NA,100,7,0.05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_33","xgbTree","none",0.766976516634051,0.091389301081638,0.973487442922374,0.0184707607328341,0.542857142857143,0.991095890410959,0.790180375180375,0.977784594683569,0.0269824136048555,0.911643835616438,0.931506849315068,0.023746444128801,NA,NA,NA,NA,NA,NA,200,4,0.05,0,0.8,5,1,NA,NA,NA
"data_33","xgbTree","up",0.870633561643836,0.0736524484839167,0.972614970645792,0.0170601594734334,0.779166666666667,0.962100456621005,0.533028545528545,0.988808884749928,0.0560619868338108,0.890867579908676,0.949771689497717,0.0330577623895641,NA,NA,NA,NA,NA,NA,100,4,0.05,0,0.8,5,0.8,NA,NA,NA
"data_33","xgbTree","down",0.915198956294847,0.0447641330651528,0.963307240704501,0.0187779337918551,0.945238095238095,0.885159817351598,0.299924656877392,0.996977819205573,0.401230126619339,0.86027397260274,0.977168949771689,0.0826978255854099,NA,NA,NA,NA,NA,NA,200,6,0.05,0,0.8,5,0.8,NA,NA,NA
"data_33","xgbTree","smote",0.8712899543379,0.0642897472664318,0.970070939334638,0.0204377206628461,0.775,0.967579908675799,0.563539793539793,0.988614425114832,0.0360199064016342,0.870776255707763,0.958904109589041,0.031659274005096,NA,NA,NA,NA,NA,NA,100,6,0.05,0,0.8,5,1,NA,NA,NA
"data_33","xgbTree","rose",0.776259784735812,0.111384990480326,0.958961187214612,0.0325518213312423,0.986309523809524,0.5662100456621,0.114821508622658,0.995080030078419,0.977613419294357,0.907305936073059,0.908675799086758,0.335154852677257,NA,NA,NA,NA,NA,NA,200,6,0.1,0,0.8,5,0.8,NA,NA,NA
"data_33","svmRadial","none",0.818586921069798,0.0860035165784655,0.966303816046967,0.0307153700000225,0.651785714285714,0.985388127853881,0.706902171902172,0.98279861420969,0.0528685199359272,0.935616438356164,0.899543378995434,0.0227758576026507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_33","svmRadial","up",0.893762230919765,0.0607298886759804,0.977784572733203,0.0131127184853016,0.829761904761905,0.957762557077626,0.510864089614089,0.991315677846267,0.0394782952724765,0.894292237442922,0.968036529680365,0.0384979662272872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_33","svmRadial","down",0.925077462491846,0.0436619638131353,0.973935909980431,0.0192728204554093,0.939880952380952,0.91027397260274,0.35365975699567,0.996825886723935,0.552027864276364,0.920319634703196,0.936073059360731,0.0669788729862325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,NA
"data_33","svmRadial","smote",0.879929060665362,0.0688574162203432,0.977291258969341,0.012573535402398,0.798214285714286,0.961643835616438,0.530597828097828,0.989763045598123,0.0237779667311234,0.896118721461187,0.968036529680365,0.0361298358066818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_33","svmRadial","rose",0.923683137638617,0.0441317091189758,0.977401337247228,0.0158459459108191,0.922023809523809,0.925342465753425,0.3980958468726,0.995888675919949,0.341905116627665,0.903881278538813,0.968036529680365,0.0573734731488624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_33","rf","none",0.758349641226354,0.0831805677617478,0.967757257012394,0.0316025266261928,0.528571428571429,0.988127853881279,0.733650793650793,0.976840638688183,0.119,0.931050228310502,0.91324200913242,0.0247555181561209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"data_33","rf","up",0.73237116764514,0.0970729853821944,0.967912181996086,0.0247168594821232,0.480952380952381,0.9837899543379,0.634100529100529,0.974516554387152,0.063,0.887899543378995,0.968036529680365,0.0272651054577082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"data_33","rf","down",0.92461268754077,0.0312840332321309,0.964707681017613,0.0168252337216562,0.967261904761905,0.881963470319635,0.301852764692511,0.998220741858835,0.505,0.885159817351598,0.968036529680365,0.0824223065883888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"data_33","rf","smote",0.807204011741683,0.0714655604557626,0.970050554468363,0.0170957529927968,0.642261904761905,0.972146118721461,0.568851148851149,0.982084571635843,0.177,0.899543378995434,0.954337899543379,0.031343166775386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"data_33","rf","rose",0.897423352902805,0.0279183941483719,0.966285469667319,0.0187073600205299,0.985714285714286,0.809132420091324,0.210461841160815,0.999163937540781,0.684,0.884474885844749,0.954337899543379,0.135390189171559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
